route_id,route_short_name,route_long_name,route_desc,route_type
91-10-A-j25-1,S10,,S,109
91-10-B-j25-1,S10,,S,109
91-10-C-j25-1,S10,,S,109
91-11-A-j25-1,S11,,S,109
91-11-B-j25-1,S11,,S,109
91-11-D-j25-1,R11,,R,106
91-11-E-j25-1,SN11,,SN,109
91-11-K-j25-1,R11,,R,106
91-11-M-j25-1,S11,,S,109
91-11-N-j25-1,R11,,R,106
91-11-O-j25-1,RE11,,RE,106
91-11-P-j25-1,S11,,S,109
91-121-A-j25-1,IC121A,,IC,102
91-12-A-j25-1,S12,,S,109
91-12-I-j25-1,R12,,R,106
91-12-j25-1,S12,,S,109
91-12-K-j25-1,RE12,,RE,106
91-12-L-j25-1,S12,,S,109
91-12-M-j25-1,R12,,R,106
91-13-A-j25-1,S13,,S,109
91-13-C-j25-1,RE13,,RE,106
91-13-E-j25-1,IR13,,IR,103
91-13-F-j25-1,RE13,,RE,106
91-13-G-j25-1,R13,,R,106
91-13-H-j25-1,S13,,S,109
91-13-I-j25-1,IR13,,IR,103
91-13-j25-1,IR13,,IR,103
91-14-A-j25-1,S14,,S,109
91-14-B-j25-1,S14,,S,109
91-14-C-j25-1,S14,,S,109
91-14-I-j25-1,SN14,,SN,109
91-15-B-j25-1,IR15,,IR,103
91-15-C-j25-1,S15,,S,109
91-15-F-j25-1,15,,EXT,117
91-15-G-j25-1,15,,EXT,117
91-15-H-j25-1,IC15,,IC,102
91-15-I-j25-1,S15,,S,109
91-15-J-j25-1,R15,,R,106
91-15-K-j25-1,R15,,R,106
91-16-A-j25-1,S16,,S,109
91-16-B-j25-1,IR16,,IR,103
91-16-G-j25-1,R16,,R,106
91-16-H-j25-1,R16,,R,106
91-17-A-j25-1,S17,,S,109
91-17-B-j25-1,IR17,,IR,103
91-17-C-j25-1,IR17,,IR,103
91-17-F-j25-1,IR17,,IR,103
91-17-M-j25-1,S17,,S,109
91-18-E-j25-1,R18,,R,106
91-19-A-j25-1,S19,,S,109
91-19-G-j25-1,R19,,R,106
91-19-Y-j25-1,IC,,IC,102
91-1A-j25-1,001A,,TGV,101
91-1-A-j25-1,S1,,S,109
91-1A-Y-j25-1,S,,S,109
91-1B-j25-1,001B,,TGV,101
91-1-B-j25-1,S1,,S,109
91-1-C-j25-1,S1,,S,109
91-1-D-j25-1,IC1,,IC,102
91-1-E-j25-1,S1,,S,109
91-1F-Y-j25-1,R,,R,106
91-1G-j25-1,001G,,TGV,101
91-1-G-j25-1,S1,,S,109
91-1G-Y-j25-1,RE,,RE,106
91-1-H-j25-1,SN1,,SN,109
91-1-I-j25-1,SN1,,SN,109
91-1I-Y-j25-1,EXT,,EXT,117
91-1J-Y-j25-1,IR,,IR,103
91-1K-Y-j25-1,TER,,TER,106
91-1-L-j25-1,1,,EXT,117
91-1-M-j25-1,R1,,R,106
91-1-N-j25-1,RE1,,RE,106
91-1-O-j25-1,R1,,R,106
91-1-P-j25-1,RE1,,RE,106
91-1P-Y-j25-1,RE,,RE,106
91-1-Q-j25-1,RE1,,RE,106
91-1V-Y-j25-1,RJX,,RJX,102
91-1X-Y-j25-1,RE,,RE,106
91-1-Y-j25-1,RE,,RE,106
91-20-A-j25-1,S20,,S,109
91-20-B-j25-1,S20,,S,109
91-20-D-j25-1,S20,,S,109
91-20-E-j25-1,S20,,S,109
91-20-I-j25-1,R20,,R,106
91-20-j25-1,S20,,S,109
91-20-J-j25-1,R20,,R,106
91-21-A-j25-1,S21,,S,109
91-21-C-j25-1,S21,,S,109
91-21-D-j25-1,IC21,,IC,102
91-21-E-j25-1,S21,,S,109
91-21-F-j25-1,SN21,,SN,109
91-21-G-j25-1,R21,,R,106
91-21-H-j25-1,S21,,S,109
