start_station,next_station,route_id,route_desc,route_short_name,departure_arrival_time
Parent8501045,Parent8501118,91-3N-Y-j25-1,SN,SN,"[('01:17:00', '01:22:00'), ('01:17:00', '01:22:00')]"
Parent8501045,Parent8501118,91-8-J-j25-1,R,R8,"[('23:16:00', '23:21:00')]"
Parent8501047,Parent8501048,91-3N-Y-j25-1,SN,SN,"[('01:13:00', '01:15:00'), ('01:13:00', '01:15:00')]"
Parent8501048,Parent8501045,91-3N-Y-j25-1,SN,SN,"[('01:15:00', '01:17:00'), ('01:15:00', '01:17:00')]"
Parent8501048,Parent8501045,91-8-J-j25-1,R,R8,"[('23:14:00', '23:16:00')]"
Parent8501116,Parent8501117,91-49-Y-j25-1,SN,SN,"[('02:16:00', '02:18:00'), ('02:39:00', '02:42:00')]"
Parent8501116,Parent8501117,91-59-Y-j25-1,R,R,"[('00:59:00', '01:03:00')]"
Parent8501117,Parent8501116,91-1-M-j25-1,R,R1,"[('05:24:00', '05:27:00'), ('24:22:00', '24:25:00')]"
Parent8501117,Parent8501116,91-2-R-j25-1,R,R2,"[('05:48:00', '05:52:00')]"
Parent8501117,Parent8501118,91-3-T-j25-1,R,R3,"[('24:59:00', '25:02:00')]"
Parent8501117,Parent8501118,91-49-Y-j25-1,SN,SN,"[('02:19:00', '02:21:00'), ('02:42:00', '02:46:00')]"
Parent8501117,Parent8501118,91-59-Y-j25-1,R,R,"[('01:03:00', '01:06:00')]"
Parent8501117,Parent8501118,91-5A-Y-j25-1,R,R,"[('00:47:00', '00:49:00')]"
Parent8501118,Parent8501117,91-1-M-j25-1,R,R1,"[('05:22:00', '05:24:00'), ('24:19:00', '24:21:00')]"
Parent8501118,Parent8501117,91-2-R-j25-1,R,R2,"[('05:46:00', '05:48:00')]"
Parent8501118,Parent8501117,91-41-Y-j25-1,SN,SN,"[('02:34:00', '02:37:00'), ('03:04:00', '03:05:00')]"
Parent8501118,Parent8501120,91-T-Y-j25-1,EXT,EXT,"[('27:24:00', '27:29:00')]"
Parent8501118,Parent8518452,91-3-T-j25-1,R,R3,"[('25:02:00', '25:04:00')]"
Parent8501118,Parent8518452,91-3N-Y-j25-1,SN,SN,"[('01:22:00', '01:24:00'), ('01:22:00', '01:24:00')]"
Parent8501118,Parent8518452,91-49-Y-j25-1,SN,SN,"[('02:22:00', '02:24:00'), ('02:46:00', '02:49:00')]"
Parent8501118,Parent8518452,91-59-Y-j25-1,R,R,"[('01:07:00', '01:09:00')]"
Parent8501118,Parent8518452,91-5A-Y-j25-1,R,R,"[('00:50:00', '00:52:00')]"
Parent8501118,Parent8518452,91-FL-Y-j25-1,R,R,"[('00:53:00', '00:55:00')]"
Parent8501120,Parent8501118,91-1-D-j25-1,IC,IC1,"[('06:46:00', '06:52:00')]"
Parent8501120,Parent8501118,91-33-C-j25-1,RE,RE33,"[('24:30:00', '24:35:00')]"
Parent8501120,Parent8501118,91-42-Y-j25-1,IC,IC,"[('23:04:00', '23:10:00'), ('23:22:00', '23:27:00')]"
Parent8501120,Parent8501118,91-5-A-j25-1,IC,IC5,"[('07:22:00', '07:26:00'), ('19:20:00', '19:25:00')]"
Parent8501120,Parent8501118,91-5L-Y-j25-1,EXT,EXT,"[('26:01:00', '26:05:00')]"
Parent8501120,Parent8501124,91-C9-Y-j25-1,EXT,EXT,"[('23:21:00', '23:29:00')]"
Parent8501120,Parent8504000,91-2B-Y-j25-1,SN,SN,"[('01:21:00', '01:24:00'), ('01:46:00', '01:49:00')]"
Parent8501120,Parent8504000,91-4P-Y-j25-1,SN,SN,"[('01:28:00', '01:31:00')]"
Parent8501120,Parent8518452,91-1-M-j25-1,R,R1,"[('05:14:00', '05:18:00')]"
Parent8501120,Parent8518452,91-2-R-j25-1,R,R2,"[('05:38:00', '05:41:00')]"
Parent8501120,Parent8518452,91-41-Y-j25-1,SN,SN,"[('02:27:00', '02:30:00')]"
Parent8501121,Parent8501120,91-2-R-j25-1,R,R2,"[('23:30:00', '23:34:00')]"
Parent8501121,Parent8501120,91-41-Y-j25-1,SN,SN,"[('02:21:00', '02:25:00')]"
Parent8501121,Parent8501120,91-C7-Y-j25-1,EXT,EXT,"[('27:36:00', '27:40:00')]"
Parent8501122,Parent8501121,91-2-R-j25-1,R,R2,"[('23:28:00', '23:30:00')]"
Parent8501122,Parent8501121,91-41-Y-j25-1,SN,SN,"[('02:18:00', '02:21:00')]"
Parent8501122,Parent8501121,91-C7-Y-j25-1,EXT,EXT,"[('27:30:00', '27:35:00')]"
Parent8501123,Parent8501122,91-2-R-j25-1,R,R2,"[('23:25:00', '23:28:00')]"
Parent8501123,Parent8501122,91-41-Y-j25-1,SN,SN,"[('02:16:00', '02:18:00')]"
Parent8501123,Parent8501122,91-C7-Y-j25-1,EXT,EXT,"[('27:27:00', '27:30:00')]"
Parent8501124,Parent8501123,91-2-R-j25-1,R,R2,"[('23:23:00', '23:25:00')]"
Parent8501124,Parent8501123,91-41-Y-j25-1,SN,SN,"[('02:13:00', '02:16:00')]"
Parent8501124,Parent8501123,91-C7-Y-j25-1,EXT,EXT,"[('27:25:00', '27:27:00')]"
Parent8501124,Parent8501125,91-C9-Y-j25-1,EXT,EXT,"[('23:30:00', '23:32:00')]"
Parent8501125,Parent8501124,91-41-Y-j25-1,SN,SN,"[('02:11:00', '02:13:00')]"
Parent8501215,Parent8501214,91-m1-j25-1,M,m1,"[('21:05:00', '21:06:00')]"
Parent8501216,Parent8501215,91-m1-j25-1,M,m1,"[('21:04:00', '21:05:00')]"
Parent8501217,Parent8501216,91-m1-j25-1,M,m1,"[('21:03:00', '21:04:00')]"
Parent8501218,Parent8501217,91-m1-j25-1,M,m1,"[('21:02:00', '21:03:00')]"
Parent8504000,Parent8501120,91-AG-Y-j25-1,S,S,"[('24:37:00', '24:40:00')]"
Parent8504000,Parent8501120,91-FH-Y-j25-1,R,R,"[('00:26:00', '00:30:00')]"
Parent8504000,Parent8504010,91-2B-Y-j25-1,SN,SN,"[('01:24:00', '01:26:00'), ('01:49:00', '01:51:00')]"
Parent8504000,Parent8504010,91-4P-Y-j25-1,SN,SN,"[('01:31:00', '01:33:00')]"
Parent8504003,Parent8504010,91-AG-Y-j25-1,S,S,"[('24:33:00', '24:35:00')]"
Parent8504003,Parent8504010,91-FH-Y-j25-1,R,R,"[('00:21:00', '00:24:00')]"
Parent8504003,Parent8504011,91-2B-Y-j25-1,SN,SN,"[('01:28:00', '01:31:00'), ('01:53:00', '01:56:00')]"
Parent8504003,Parent8504011,91-4P-Y-j25-1,SN,SN,"[('01:36:00', '01:38:00')]"
Parent8504010,Parent8504000,91-AG-Y-j25-1,S,S,"[('24:35:00', '24:37:00')]"
Parent8504010,Parent8504000,91-FH-Y-j25-1,R,R,"[('00:24:00', '00:26:00')]"
Parent8504010,Parent8504003,91-2B-Y-j25-1,SN,SN,"[('01:26:00', '01:28:00'), ('01:51:00', '01:53:00')]"
Parent8504010,Parent8504003,91-4P-Y-j25-1,SN,SN,"[('01:33:00', '01:36:00')]"
Parent8504011,Parent8504003,91-AG-Y-j25-1,S,S,"[('24:30:00', '24:32:00')]"
Parent8504011,Parent8504003,91-FH-Y-j25-1,R,R,"[('00:19:00', '00:21:00')]"
Parent8518452,Parent8501118,91-1-M-j25-1,R,R1,"[('05:18:00', '05:21:00')]"
Parent8518452,Parent8501118,91-2-R-j25-1,R,R2,"[('05:42:00', '05:45:00')]"
Parent8518452,Parent8501118,91-41-Y-j25-1,SN,SN,"[('02:30:00', '02:33:00')]"
Parent8518452,Parent8501120,91-3-T-j25-1,R,R3,"[('25:04:00', '25:08:00')]"
Parent8518452,Parent8501120,91-3N-Y-j25-1,SN,SN,"[('01:24:00', '01:27:00'), ('01:24:00', '01:27:00')]"
Parent8518452,Parent8501120,91-49-Y-j25-1,SN,SN,"[('02:24:00', '02:27:00'), ('02:49:00', '02:53:00')]"
Parent8518452,Parent8501120,91-59-Y-j25-1,R,R,"[('01:09:00', '01:14:00')]"
