route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,original_trip_id,hints
91-15-B-j25-1,TA+sxd00,1.TA.91-15-B-j25-1.1.H,Lausanne,30541,0,,ch:1:sjyid:100001:30541-002,NF
91-15-B-j25-1,TA+r8e00,1004.TA.91-15-B-j25-1.361.R,Bern,2543,1,,ch:1:sjyid:100001:2543-001,NF
91-15-B-j25-1,TA+ip050,2.TA.91-15-B-j25-1.1.H,Lausanne,30539,0,,ch:1:sjyid:100001:30539-004,NF
91-15-B-j25-1,TA+jwi00,3.TA.91-15-B-j25-1.1.H,Lausanne,30539,0,,ch:1:sjyid:100001:30539-004,PH
91-15-B-j25-1,TA+r8e00,373.TA.91-15-B-j25-1.143.H,Renens VD,2538,0,,ch:1:sjyid:100001:2538-001,NF
91-15-B-j25-1,TA+ip050,696.TA.91-15-B-j25-1.216.R,Renens VD,30540,1,,ch:1:sjyid:100001:30540-004,NF
91-15-B-j25-1,TA+jwi00,697.TA.91-15-B-j25-1.216.R,Renens VD,30540,1,,ch:1:sjyid:100001:30540-004,PH
91-1-D-j25-1,TA+1t300,10.TA.91-1-D-j25-1.6.H,Genève-Aéroport,30702,0,,ch:1:sjyid:100001:30702-754,BZ FA FS PH RZ
91-1-D-j25-1,TA+2p500,1000.TA.91-1-D-j25-1.351.R,Zürich HB,10711,1,,ch:1:sjyid:100001:10711-691,BZ FA FS R RZ
91-1-D-j25-1,TA+2p500,1001.TA.91-1-D-j25-1.351.R,Zürich HB,10903,1,,ch:1:sjyid:100001:10903-001,BZ FA FS RZ
91-1-D-j25-1,TA+yn700,1002.TA.91-1-D-j25-1.351.R,Zürich HB,10711,1,,ch:1:sjyid:100001:10711-698,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+ty900,1003.TA.91-1-D-j25-1.352.R,Zürich HB,10901,1,,ch:1:sjyid:100001:10901-001,BZ FA FS R RZ VR
91-1-D-j25-1,TA+jxc00,1004.TA.91-1-D-j25-1.353.R,Zürich HB,10901,1,,ch:1:sjyid:100001:10901-001,BZ FA FS R RZ VR
91-1-D-j25-1,TA+2q500,1005.TA.91-1-D-j25-1.354.R,Zürich HB,10901,1,,ch:1:sjyid:100001:10901-001,BZ FA FS RZ
91-1-D-j25-1,TA+fo500,1006.TA.91-1-D-j25-1.354.R,Zürich HB,10901,1,,ch:1:sjyid:100001:10901-698,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+3o700,1007.TA.91-1-D-j25-1.355.R,Zürich HB,10725,1,,ch:1:sjyid:100001:10725-691,BZ FA FS R RZ
91-1-D-j25-1,TA+ty900,1008.TA.91-1-D-j25-1.356.R,Zürich HB,10729,1,,ch:1:sjyid:100001:10729-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+ty900,1009.TA.91-1-D-j25-1.356.R,Zürich HB,10721,1,,ch:1:sjyid:100001:10721-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+jxc00,1010.TA.91-1-D-j25-1.357.R,Zürich HB,10715,1,,ch:1:sjyid:100001:10715-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+ty900,1011.TA.91-1-D-j25-1.358.R,Zürich HB,10715,1,,ch:1:sjyid:100001:10715-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+jxc00,1012.TA.91-1-D-j25-1.359.R,Zürich HB,10727,1,,ch:1:sjyid:100001:10727-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+ty900,1013.TA.91-1-D-j25-1.360.R,Zürich HB,10717,1,,ch:1:sjyid:100001:10717-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+ty900,1014.TA.91-1-D-j25-1.360.R,Zürich HB,10733,1,,ch:1:sjyid:100001:10733-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+ty900,1015.TA.91-1-D-j25-1.360.R,Zürich HB,10709,1,,ch:1:sjyid:100001:10709-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+3o700,1016.TA.91-1-D-j25-1.361.R,Zürich HB,10717,1,,ch:1:sjyid:100001:10717-691,BZ FA FS R RZ
91-1-D-j25-1,TA+ty900,1017.TA.91-1-D-j25-1.361.R,Zürich HB,10727,1,,ch:1:sjyid:100001:10727-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+jxc00,1018.TA.91-1-D-j25-1.361.R,Zürich HB,10709,1,,ch:1:sjyid:100001:10709-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+3o700,1019.TA.91-1-D-j25-1.362.R,Zürich HB,737,1,,ch:1:sjyid:100001:737-001,BZ FA FS RZ
91-1-D-j25-1,TA+3o700,1020.TA.91-1-D-j25-1.363.R,Zürich HB,10729,1,,ch:1:sjyid:100001:10729-691,BZ FA FS R RZ
91-1-D-j25-1,TA+3o700,1021.TA.91-1-D-j25-1.363.R,Zürich HB,10721,1,,ch:1:sjyid:100001:10721-691,BZ FA FS R RZ
91-1-D-j25-1,TA+ll200,1022.TA.91-1-D-j25-1.364.R,Zürich HB,10715,1,,ch:1:sjyid:100001:10715-698,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+2q500,1023.TA.91-1-D-j25-1.365.R,Zürich HB,10715,1,,ch:1:sjyid:100001:10715-691,BZ FA FS R RZ
91-1-D-j25-1,TA+yn700,1024.TA.91-1-D-j25-1.365.R,Zürich HB,10715,1,,ch:1:sjyid:100001:10715-698,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+3o700,1025.TA.91-1-D-j25-1.365.R,Zürich HB,10907,1,,ch:1:sjyid:100001:10907-001,BZ FA FS RZ
91-1-D-j25-1,TA+ll200,1026.TA.91-1-D-j25-1.366.R,Zürich HB,10727,1,,ch:1:sjyid:100001:10727-698,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+yn700,1027.TA.91-1-D-j25-1.367.R,Zürich HB,10727,1,,ch:1:sjyid:100001:10727-698,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+2p500,1028.TA.91-1-D-j25-1.368.R,Zürich HB,10727,1,,ch:1:sjyid:100001:10727-691,BZ FA FS R RZ
91-1-D-j25-1,TA+3o700,1029.TA.91-1-D-j25-1.369.R,Zürich HB,10909,1,,ch:1:sjyid:100001:10909-001,BZ FA FS RZ
91-1-D-j25-1,TA+3o700,1030.TA.91-1-D-j25-1.369.R,Zürich HB,10727,1,,ch:1:sjyid:100001:10727-691,BZ FA FS R RZ
91-1-D-j25-1,TA+yn700,1031.TA.91-1-D-j25-1.369.R,Zürich HB,10709,1,,ch:1:sjyid:100001:10709-698,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+3o700,1032.TA.91-1-D-j25-1.369.R,Zürich HB,10733,1,,ch:1:sjyid:100001:10733-691,BZ FA FS R RZ
91-1-D-j25-1,TA+ll200,1033.TA.91-1-D-j25-1.369.R,Zürich HB,10709,1,,ch:1:sjyid:100001:10709-001,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+2p500,1034.TA.91-1-D-j25-1.369.R,Zürich HB,10709,1,,ch:1:sjyid:100001:10709-691,BZ FA FS R RZ
91-1-D-j25-1,TA+3o700,1035.TA.91-1-D-j25-1.369.R,Zürich HB,10731,1,,ch:1:sjyid:100001:10731-691,BZ FA FS R RZ
91-1-D-j25-1,TA+3o700,1036.TA.91-1-D-j25-1.369.R,Zürich HB,10735,1,,ch:1:sjyid:100001:10735-691,BZ FA FS R RZ
91-1-D-j25-1,TA+fgg90,1037.TA.91-1-D-j25-1.370.R,Zürich HB,737,1,,ch:1:sjyid:100001:737-001,BZ FA FS RZ
91-1-D-j25-1,TA+8F,1038.TA.91-1-D-j25-1.370.R,Zürich HB,737,1,,ch:1:sjyid:100001:737-001,BZ FA FS NF RZ
91-1-D-j25-1,TA+5ya00,1039.TA.91-1-D-j25-1.370.R,Zürich HB,737,1,,ch:1:sjyid:100001:737-001,BZ FA FS RZ
91-1-D-j25-1,TA+jxc00,1040.TA.91-1-D-j25-1.371.R,Zürich HB,10729,1,,ch:1:sjyid:100001:10729-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+jxc00,1041.TA.91-1-D-j25-1.372.R,Zürich HB,10721,1,,ch:1:sjyid:100001:10721-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+jxc00,1042.TA.91-1-D-j25-1.373.R,Zürich HB,10907,1,,ch:1:sjyid:100001:10907-001,BZ FA FS R RZ VR
91-1-D-j25-1,TA+ty900,1043.TA.91-1-D-j25-1.374.R,Zürich HB,10907,1,,ch:1:sjyid:100001:10907-001,BZ FA FS R RZ VR
91-1-D-j25-1,TA+jxc00,1044.TA.91-1-D-j25-1.375.R,Zürich HB,10735,1,,ch:1:sjyid:100001:10735-001,BZ FA FS R RZ VR
91-1-D-j25-1,TA+ty900,1045.TA.91-1-D-j25-1.376.R,Zürich HB,10909,1,,ch:1:sjyid:100001:10909-001,BZ FA FS R RZ VR
91-1-D-j25-1,TA+jxc00,1046.TA.91-1-D-j25-1.376.R,Zürich HB,10717,1,,ch:1:sjyid:100001:10717-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+ty900,1047.TA.91-1-D-j25-1.376.R,Zürich HB,10725,1,,ch:1:sjyid:100001:10725-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+ty900,1048.TA.91-1-D-j25-1.376.R,Zürich HB,10731,1,,ch:1:sjyid:100001:10731-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+ty900,1049.TA.91-1-D-j25-1.376.R,Zürich HB,10735,1,,ch:1:sjyid:100001:10735-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+jxc00,1050.TA.91-1-D-j25-1.377.R,Zürich HB,10731,1,,ch:1:sjyid:100001:10731-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+jxc00,1051.TA.91-1-D-j25-1.378.R,Zürich HB,10909,1,,ch:1:sjyid:100001:10909-001,BZ FA FS R RZ VR
91-1-D-j25-1,TA+2p500,1052.TA.91-1-D-j25-1.378.R,Zürich HB,10717,1,,ch:1:sjyid:100001:10717-691,BZ FA FS R RZ
91-1-D-j25-1,TA+jxc00,1053.TA.91-1-D-j25-1.378.R,Zürich HB,10733,1,,ch:1:sjyid:100001:10733-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+fo500,1054.TA.91-1-D-j25-1.378.R,Zürich HB,10717,1,,ch:1:sjyid:100001:10717-698,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+jxc00,1055.TA.91-1-D-j25-1.378.R,Zürich HB,10725,1,,ch:1:sjyid:100001:10725-691,BZ FA FS R RZ VR
91-1-D-j25-1,TA+xo700,1056.TA.91-1-D-j25-1.379.R,Zürich HB,737,1,,ch:1:sjyid:100001:737-001,BZ FA FS RZ
91-1-D-j25-1,TA+2p500,1057.TA.91-1-D-j25-1.380.R,Zürich HB,737,1,,ch:1:sjyid:100001:737-001,BZ FA FS RZ
91-1-D-j25-1,TA+k51b0,1058.TA.91-1-D-j25-1.381.R,Zürich HB,737,1,,ch:1:sjyid:100001:737-001,BZ FA FS RZ
91-1-D-j25-1,TA+ds700,1059.TA.91-1-D-j25-1.382.R,Zürich HB,737,1,,ch:1:sjyid:100001:737-001,BZ FA FS RZ
91-1-D-j25-1,TA+sh000,1060.TA.91-1-D-j25-1.383.R,Zürich HB,737,1,,ch:1:sjyid:100001:737-001,BZ FA FS RZ
91-1-D-j25-1,TA+1uvb0,1061.TA.91-1-D-j25-1.384.R,Zürich HB,737,1,,ch:1:sjyid:100001:737-001,BZ FA FS RZ
91-1-D-j25-1,TA+u0d00,1062.TA.91-1-D-j25-1.384.R,Zürich HB,737,1,,ch:1:sjyid:100001:737-001,BZ FA FS NF RZ
91-1-D-j25-1,TA+ltr00,1063.TA.91-1-D-j25-1.384.R,Zürich HB,737,1,,ch:1:sjyid:100001:737-001,BZ FA FS RZ
91-1-D-j25-1,TA+2p500,1064.TA.91-1-D-j25-1.385.R,Zürich HB,10729,1,,ch:1:sjyid:100001:10729-691,BZ FA FS R RZ
91-1-D-j25-1,TA+fo500,1065.TA.91-1-D-j25-1.386.R,Zürich HB,10729,1,,ch:1:sjyid:100001:10729-698,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+fo500,1066.TA.91-1-D-j25-1.387.R,Zürich HB,10721,1,,ch:1:sjyid:100001:10721-698,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+2p500,1067.TA.91-1-D-j25-1.388.R,Zürich HB,10721,1,,ch:1:sjyid:100001:10721-691,BZ FA FS R RZ
91-1-D-j25-1,TA+ll200,1068.TA.91-1-D-j25-1.389.R,Zürich HB,10907,1,,ch:1:sjyid:100001:10907-698,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+yn700,1069.TA.91-1-D-j25-1.390.R,Zürich HB,10907,1,,ch:1:sjyid:100001:10907-698,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+2p500,1070.TA.91-1-D-j25-1.390.R,Zürich HB,10907,1,,ch:1:sjyid:100001:10907-001,BZ FA FS RZ
91-1-D-j25-1,TA+yn700,1071.TA.91-1-D-j25-1.391.R,Zürich HB,10725,1,,ch:1:sjyid:100001:10725-698,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+yn700,1072.TA.91-1-D-j25-1.391.R,Zürich HB,10733,1,,ch:1:sjyid:100001:10733-698,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+xo700,1073.TA.91-1-D-j25-1.391.R,Zürich HB,10731,1,,ch:1:sjyid:100001:10731-690,BZ FA FS R RZ
91-1-D-j25-1,TA+2p500,1074.TA.91-1-D-j25-1.391.R,Zürich HB,10735,1,,ch:1:sjyid:100001:10735-001,BZ FA FS R RZ
91-1-D-j25-1,TA+0o700,1075.TA.91-1-D-j25-1.392.R,Zürich HB,10733,1,,ch:1:sjyid:100001:10733-697,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+r8e00,1076.TA.91-1-D-j25-1.393.R,Zürich HB,10733,1,,ch:1:sjyid:100001:10733-746,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+r8e00,1077.TA.91-1-D-j25-1.393.R,Zürich HB,10731,1,,ch:1:sjyid:100001:10731-746,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+ltr00,1078.TA.91-1-D-j25-1.394.R,Zürich HB,10733,1,,ch:1:sjyid:100001:10733-690,BZ FA FS R RZ VR
91-1-D-j25-1,TA+ltr00,1079.TA.91-1-D-j25-1.394.R,Zürich HB,10735,1,,ch:1:sjyid:100001:10735-690,BZ FA FS R RZ VR
91-1-D-j25-1,TA+0o700,1080.TA.91-1-D-j25-1.394.R,Zürich HB,10735,1,,ch:1:sjyid:100001:10735-697,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+xo700,1081.TA.91-1-D-j25-1.395.R,Zürich HB,10733,1,,ch:1:sjyid:100001:10733-690,BZ FA FS R RZ
91-1-D-j25-1,TA+0o700,1082.TA.91-1-D-j25-1.395.R,Zürich HB,10731,1,,ch:1:sjyid:100001:10731-697,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+2p500,1083.TA.91-1-D-j25-1.395.R,Zürich HB,10731,1,,ch:1:sjyid:100001:10731-691,BZ FA FS R RZ
91-1-D-j25-1,TA+ll200,1084.TA.91-1-D-j25-1.395.R,Zürich HB,10731,1,,ch:1:sjyid:100001:10731-698,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+ll200,1085.TA.91-1-D-j25-1.396.R,Zürich HB,10735,1,,ch:1:sjyid:100001:10735-002,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+r8e00,1086.TA.91-1-D-j25-1.397.R,Zürich HB,10735,1,,ch:1:sjyid:100001:10735-746,BZ FA FS NF R RZ VR
91-1-D-j25-1,TA+ltr00,1087.TA.91-1-D-j25-1.397.R,Zürich HB,10731,1,,ch:1:sjyid:100001:10731-690,BZ FA FS R RZ VR
91-1-D-j25-1,TA+2p500,1088.TA.91-1-D-j25-1.398.R,Zürich HB,10909,1,,ch:1:sjyid:100001:10909-001,BZ FA FS RZ
