station_seq_id,station_seq
0,Parent8501118
1,"Parent8530749,Parent8501218,Parent8501217,Parent8501216,Parent8501215,Parent8501214"
2,"Parent8530749,Parent8501218,Parent8501217,Parent8501216,Parent8501215,Parent8501214,Parent8501213,Parent8501212,Parent8501211,Parent8501210"
3,"Parent8501210,Parent8501211,Parent8501212,Parent8501213,Parent8501214,Parent8501215,Parent8501216,Parent8501217,Parent8501218,Parent8530749"
4,"Parent8501213,Parent8501212,Parent8501211,Parent8501210"
5,"Parent8501214,Parent8501215,Parent8501216,Parent8501217,Parent8501218,Parent8530749"
6,"Parent8501210,Parent8501211,Parent8501212,Parent8501213,Parent8501214"
7,"Parent8501210,Parent8591950,Parent8596053,Parent8591945,Parent8511813,Parent8595223,Parent8510528,Parent8510727"
8,"Parent8510727,Parent8511813,Parent8591945,Parent8596053,Parent8591950,Parent8501210"
9,"Parent8501210,Parent8595937"
10,"Parent8595937,Parent8501210"
11,"Parent8593869,Parent8588983,Parent8592209,Parent8595534,Parent8510422,Parent8595602,Parent8595521"
12,"Parent8595521,Parent8595602,Parent8510422,Parent8595534,Parent8592209,Parent8588983,Parent8593869"
13,"Parent8579231,Parent8588156,Parent8588155,Parent8588158,Parent8588157,Parent8592226,Parent8592227,Parent8511813,Parent8591944,Parent8501213,Parent8594987,Parent8594986,Parent8593867,Parent8507227,Parent8593868,Parent8591933,Parent8593869,Parent8588983"
14,"Parent8588983,Parent8593869,Parent8591933,Parent8593868,Parent8507227,Parent8593867,Parent8594986,Parent8594987,Parent8591944,Parent8501213,Parent8592227,Parent8592226,Parent8588157,Parent8588158,Parent8588155,Parent8588156,Parent8579231"
15,"Parent8588983,Parent8593869,Parent8591933,Parent8593868,Parent8507227,Parent8593867,Parent8594986,Parent8594987,Parent8501213,Parent8591944,Parent8592227,Parent8592226,Parent8588157,Parent8588158,Parent8588155,Parent8588156,Parent8579231"
16,"Parent8588983,Parent8593869,Parent8591933,Parent8593868,Parent8593866,Parent8592209,Parent8592218,Parent8592210"
17,"Parent8592210,Parent8592218,Parent8592209,Parent8593866,Parent8593868,Parent8591933,Parent8593869,Parent8588983"
18,"Parent8594988,Parent8591959,Parent8594890,Parent8591956,Parent8591949,Parent8591954,Parent8591961,Parent8588873,Parent8591960,Parent8591957,Parent8591955,Parent8591948,Parent8591953,Parent8591958,Parent8510721,Parent8588983,Parent8588983,Parent8592209,Parent8592218,Parent8592210"
19,"Parent8592210,Parent8592218,Parent8592209,Parent8588983,Parent8588983,Parent8510721,Parent8591958,Parent8591953,Parent8591955,Parent8591948,Parent8591957,Parent8591960,Parent8588873,Parent8591961,Parent8591954,Parent8591949,Parent8591956,Parent8594890,Parent8591959,Parent8594988"
20,"Parent8592210,Parent8592218,Parent8592209,Parent8588983,Parent8588983,Parent8510721,Parent8591958,Parent8591953,Parent8591957,Parent8591955,Parent8591948,Parent8591960,Parent8588873,Parent8591961,Parent8591954,Parent8591949,Parent8591956,Parent8594890,Parent8591959,Parent8594988"
21,"Parent8592210,Parent8592218,Parent8592209,Parent8588983,Parent8588983,Parent8510721,Parent8591958,Parent8591953,Parent8591955,Parent8591948,Parent8591957,Parent8591960,Parent8588873,Parent8591961,Parent8591954,Parent8591949,Parent8591956,Parent8591959,Parent8594890,Parent8594988"
22,Parent8588838
23,"Parent8510525,Parent8510526,Parent8510527,Parent8510528,Parent8595223,Parent8511813,Parent8591945,Parent8596053,Parent8591950,Parent8501210"
24,"Parent8501210,Parent8591950,Parent8596053,Parent8591945,Parent8511813,Parent8595223,Parent8510528,Parent8510527,Parent8510526,Parent8510525"
25,"Parent8592248,Parent8591961,Parent8591946,Parent8591951,Parent8591947,Parent8579233,Parent8591944,Parent8579234"
26,"Parent8592239,Parent8592242,Parent8588872,Parent8592248,Parent8591961,Parent8591946,Parent8591951,Parent8591947,Parent8579233,Parent8591944,Parent8579234"
27,"Parent8579234,Parent8579233,Parent8591952,Parent8591949,Parent8591954,Parent8591961,Parent8592248"
28,"Parent8579234,Parent8579233,Parent8591952,Parent8591949,Parent8591954,Parent8591961,Parent8592248,Parent8588872,Parent8592242,Parent8592239"
29,"Parent8591945,Parent8595223,Parent8501214,Parent8501213,Parent8501212,Parent8501211"
30,Parent8501211
31,Parent8588983
32,"Parent8501210,Parent8592210,Parent8592218,Parent8592209,Parent8593866,Parent8593868,Parent8591933,Parent8593869,Parent8588983,Parent8510721,Parent8591958,Parent8591953,Parent8591955,Parent8591948,Parent8591957,Parent8591960,Parent8588873,Parent8591961,Parent8591954,Parent8591949,Parent8591956,Parent8594890,Parent8591959,Parent8594988,Parent8579231"
33,"Parent8579231,Parent8588156,Parent8588155,Parent8588158,Parent8588157,Parent8592226,Parent8592227,Parent8511813,Parent8591944,Parent8501213,Parent8594987,Parent8594986,Parent8595602,Parent8595521"
34,Parent8501245
