start_station,next_station,route_id,route_desc,route_short_name,departure_arrival_time
Parent8501117,Parent8501116,91-1-M-j25-1,R,R1,"[('05:24:00', '05:28:00'), ('05:24:00', '05:27:00'), ('06:18:00', '06:22:00'), ('07:18:00', '07:22:00'), ('08:18:00', '08:22:00'), ('09:18:00', '09:22:00'), ('10:18:00', '10:22:00'), ('11:18:00', '11:22:00'), ('12:18:00', '12:22:00'), ('13:18:00', '13:22:00'), ('14:18:00', '14:22:00'), ('15:18:00', '15:22:00'), ('16:18:00', '16:22:00'), ('17:18:00', '17:22:00'), ('18:18:00', '18:22:00'), ('19:18:00', '19:22:00'), ('20:18:00', '20:22:00'), ('21:18:00', '21:22:00'), ('22:18:00', '22:22:00'), ('23:18:00', '23:22:00'), ('23:22:00', '23:25:00'), ('24:20:00', '24:23:00'), ('24:22:00', '24:25:00'), ('24:23:00', '24:26:00'), ('24:24:00', '24:27:00'), ('24:25:00', '24:29:00'), ('24:25:00', '24:28:00'), ('24:27:00', '24:31:00'), ('24:28:00', '24:31:00'), ('24:29:00', '24:32:00'), ('24:30:00', '24:34:00'), ('24:31:00', '24:34:00'), ('24:32:00', '24:35:00')]"
Parent8501117,Parent8501116,91-2-R-j25-1,R,R2,"[('04:49:00', '04:53:00'), ('04:55:00', '05:00:00'), ('05:48:00', '05:52:00'), ('06:48:00', '06:51:00'), ('06:48:00', '06:52:00'), ('07:48:00', '07:52:00'), ('08:48:00', '08:52:00'), ('09:48:00', '09:52:00'), ('10:48:00', '10:52:00'), ('11:48:00', '11:52:00'), ('12:48:00', '12:52:00'), ('13:48:00', '13:52:00'), ('14:48:00', '14:52:00'), ('15:48:00', '15:52:00'), ('16:48:00', '16:52:00'), ('17:48:00', '17:52:00'), ('18:48:00', '18:52:00'), ('19:48:00', '19:52:00'), ('20:48:00', '20:52:00'), ('21:48:00', '21:52:00'), ('22:48:00', '22:52:00'), ('22:52:00', '22:55:00'), ('23:45:00', '23:48:00'), ('23:48:00', '23:51:00'), ('23:49:00', '23:52:00'), ('23:50:00', '23:54:00'), ('23:52:00', '23:55:00'), ('23:53:00', '23:56:00')]"
Parent8501117,Parent8501116,91-49-Y-j25-1,SN,SN,"[('01:18:00', '01:22:00'), ('01:31:00', '01:35:00'), ('02:15:00', '02:17:00'), ('02:18:00', '02:21:00'), ('02:18:00', '02:22:00'), ('02:32:00', '02:35:00'), ('03:18:00', '03:22:00')]"
Parent8501117,Parent8501118,91-1-M-j25-1,R,R1,"[('05:41:00', '05:44:00'), ('06:41:00', '06:45:00'), ('06:42:00', '06:46:00'), ('07:41:00', '07:45:00'), ('07:42:00', '07:46:00'), ('08:41:00', '08:45:00'), ('08:42:00', '08:46:00'), ('09:41:00', '09:45:00'), ('09:42:00', '09:46:00'), ('10:41:00', '10:45:00'), ('10:42:00', '10:46:00'), ('11:41:00', '11:45:00'), ('11:42:00', '11:46:00'), ('12:41:00', '12:45:00'), ('12:42:00', '12:46:00'), ('13:41:00', '13:45:00'), ('13:42:00', '13:46:00'), ('14:41:00', '14:45:00'), ('14:42:00', '14:46:00'), ('15:41:00', '15:45:00'), ('15:42:00', '15:46:00'), ('16:41:00', '16:45:00'), ('16:42:00', '16:46:00'), ('17:41:00', '17:45:00'), ('17:42:00', '17:46:00'), ('18:41:00', '18:45:00'), ('18:42:00', '18:46:00'), ('19:41:00', '19:45:00'), ('19:42:00', '19:46:00'), ('20:41:00', '20:45:00'), ('20:42:00', '20:46:00'), ('21:41:00', '21:45:00'), ('21:42:00', '21:46:00'), ('22:41:00', '22:45:00'), ('22:42:00', '22:46:00'), ('22:44:00', '22:46:00'), ('22:45:00', '22:49:00'), ('23:41:00', '23:45:00'), ('23:42:00', '23:46:00'), ('23:43:00', '23:46:00'), ('23:44:00', '23:46:00'), ('24:48:00', '24:51:00'), ('24:50:00', '24:52:00'), ('25:42:00', '25:46:00')]"
Parent8501117,Parent8501118,91-2-R-j25-1,R,R2,"[('05:10:00', '05:13:00'), ('05:20:00', '05:23:00'), ('05:21:00', '05:24:00'), ('06:11:00', '06:15:00'), ('06:12:00', '06:16:00'), ('07:11:00', '07:15:00'), ('07:12:00', '07:16:00'), ('08:11:00', '08:15:00'), ('08:12:00', '08:16:00'), ('09:11:00', '09:15:00'), ('09:12:00', '09:16:00'), ('10:11:00', '10:15:00'), ('10:12:00', '10:16:00'), ('11:11:00', '11:15:00'), ('11:12:00', '11:16:00'), ('12:11:00', '12:15:00'), ('12:12:00', '12:16:00'), ('13:11:00', '13:15:00'), ('13:12:00', '13:16:00'), ('14:11:00', '14:15:00'), ('14:12:00', '14:16:00'), ('15:11:00', '15:15:00'), ('15:12:00', '15:16:00'), ('16:11:00', '16:15:00'), ('16:12:00', '16:16:00'), ('17:11:00', '17:15:00'), ('17:12:00', '17:16:00'), ('18:11:00', '18:15:00'), ('18:12:00', '18:16:00'), ('19:11:00', '19:15:00'), ('19:12:00', '19:16:00'), ('20:11:00', '20:15:00'), ('20:12:00', '20:16:00'), ('21:11:00', '21:15:00'), ('21:12:00', '21:16:00'), ('22:11:00', '22:15:00'), ('22:12:00', '22:16:00'), ('23:11:00', '23:15:00'), ('23:12:00', '23:16:00'), ('23:13:00', '23:16:00'), ('23:14:00', '23:16:00'), ('24:11:00', '24:15:00'), ('24:12:00', '24:16:00'), ('24:14:00', '24:16:00'), ('24:14:00', '24:17:00'), ('24:15:00', '24:18:00'), ('24:16:00', '24:19:00'), ('24:32:00', '24:35:00')]"
Parent8501117,Parent8501118,91-3-T-j25-1,R,R3,"[('05:52:00', '05:55:00'), ('06:52:00', '06:55:00'), ('07:52:00', '07:55:00'), ('08:52:00', '08:55:00'), ('09:52:00', '09:55:00'), ('10:52:00', '10:55:00'), ('11:52:00', '11:55:00'), ('12:52:00', '12:55:00'), ('13:52:00', '13:55:00'), ('14:52:00', '14:55:00'), ('15:52:00', '15:55:00'), ('16:52:00', '16:55:00'), ('17:52:00', '17:55:00'), ('18:52:00', '18:55:00'), ('19:52:00', '19:55:00'), ('20:52:00', '20:55:00'), ('21:52:00', '21:55:00'), ('22:52:00', '22:55:00'), ('23:52:00', '23:55:00'), ('24:52:00', '24:55:00'), ('24:55:00', '24:57:00'), ('24:59:00', '25:02:00'), ('25:00:00', '25:02:00')]"
Parent8501117,Parent8501118,91-4-L-j25-1,R,R4,"[('05:16:00', '05:19:00'), ('06:22:00', '06:25:00'), ('07:22:00', '07:25:00'), ('08:22:00', '08:25:00'), ('09:22:00', '09:25:00'), ('10:22:00', '10:25:00'), ('11:22:00', '11:25:00'), ('12:22:00', '12:25:00'), ('12:23:00', '12:25:00'), ('13:22:00', '13:25:00'), ('14:22:00', '14:25:00'), ('15:22:00', '15:25:00'), ('16:22:00', '16:25:00'), ('17:22:00', '17:25:00'), ('18:22:00', '18:25:00'), ('19:22:00', '19:25:00'), ('20:22:00', '20:25:00'), ('21:22:00', '21:25:00'), ('22:22:00', '22:25:00'), ('22:24:00', '22:26:00'), ('23:22:00', '23:25:00'), ('23:24:00', '23:26:00'), ('23:26:00', '23:28:00'), ('24:24:00', '24:26:00'), ('24:24:00', '24:27:00'), ('24:25:00', '24:28:00'), ('24:26:00', '24:28:00'), ('24:26:00', '24:29:00'), ('24:27:00', '24:30:00')]"
Parent8501117,Parent8501118,91-41-Y-j25-1,SN,SN,"[('01:25:00', '01:28:00'), ('02:22:00', '02:25:00'), ('02:26:00', '02:28:00'), ('03:22:00', '03:25:00')]"
Parent8501117,Parent8501118,91-49-Y-j25-1,SN,SN,"[('01:42:00', '01:46:00'), ('02:07:00', '02:10:00'), ('02:07:00', '02:09:00'), ('02:08:00', '02:10:00'), ('02:19:00', '02:21:00'), ('02:42:00', '02:46:00'), ('03:02:00', '03:06:00'), ('03:06:00', '03:10:00'), ('03:07:00', '03:10:00'), ('03:19:00', '03:21:00'), ('03:42:00', '03:46:00')]"
Parent8501117,Parent8501118,91-59-Y-j25-1,R,R,"[('01:03:00', '01:06:00')]"
