stop_id,stop_name,stop_lat,stop_lon
Parent8501045,Denges-Echandens,46.52912417,6.54050782
Parent8501047,Morges-St-Jean,46.51819633,6.50804271
Parent8501048,Lonay-Préverenges,46.52313514,6.51954114
Parent8501075,Lausanne-Ouchy (lac),46.50507755,6.62760847
Parent8501116,Vufflens-la-Ville,46.57624689,6.53077008
Parent8501117,Bussigny,46.54758771,6.55182659
Parent8501118,Renens VD,46.53704053,6.57893775
Parent8501120,Lausanne,46.5167931,6.62909069
Parent8501121,Pully,46.51092637,6.65947171
Parent8501122,Lutry,46.50378528,6.69060732
Parent8501123,Villette VD,46.495425,6.70737887
Parent8501124,Cully,46.4885602,6.72715079
Parent8501125,Epesses,46.48932713,6.74516201
Parent8501160,Lausanne-Chauderon,46.52322786,6.62606337
Parent8501162,Union-Prilly,46.53471703,6.60984878
Parent8501163,Prilly-Chasseur,46.53964816,6.60743231
Parent8501164,Cery-Fleur-de-Lys,46.54457885,6.60500686
Parent8501165,Jouxtens-Mézery,46.54834144,6.60169207
Parent8501166,Romanel-sur-Lausanne,46.5624689,6.60317429
Parent8501168,Vernand-Camarès,46.57094238,6.60480025
Parent8501169,Cheseaux,46.58434778,6.60595907
Parent8501170,Bel-Air LEB,46.57867976,6.60552788
Parent8501171,Etagnières,46.60267527,6.61462781
Parent8501181,Lausanne-Flon,46.52079869,6.63033935
Parent8501207,"Lausanne, Montelly",46.52182476,6.61355882
Parent8501208,"Lausanne, Provence",46.52326494,6.60865402
Parent8501209,"Lausanne, Malley",46.52413645,6.60256344
Parent8501210,"Lausanne, Bourdonnette",46.52326494,6.58980736
Parent8501211,"Chavannes-R., UNIL-Chamberonne",46.5242168,6.58470493
Parent8501212,"Chavannes-R., UNIL-Mouline",46.5249894,6.57889283
Parent8501213,"Ecublens VD, UNIL-Sorge",46.52244905,6.57357481
Parent8501214,"Ecublens VD, EPFL",46.52219563,6.56613676
Parent8501215,"Ecublens VD, Bassenges",46.52458765,6.56459165
Parent8501216,"Ecublens VD, Cerisaie",46.52775213,6.56654998
Parent8501217,"Chavannes-R., Crochy",46.53271479,6.56997256
Parent8501218,"Ecublens VD, Epenex",46.53771408,6.57358379
Parent8501245,St-Sulpice VD (lac),46.50858321,6.56122297
Parent8501297,"Riex, fontaine",46.49337184,6.73572071
Parent8501317,Cully (lac),46.48747165,6.73161541
Parent8501318,Lutry (lac),46.5012625,6.6840047
Parent8501319,Pully (lac),46.50534342,6.66120546
Parent8504000,Pully-Nord,46.51467893,6.65798949
Parent8504003,Bossière,46.50975171,6.69932098
Parent8504010,La Conversion,46.51308397,6.67832735
Parent8504011,Grandvaux,46.49694628,6.72265023
Parent8504171,"Lausanne, En Marin",46.55710745,6.68413047
Parent8504172,"Savigny, Claie-aux-Moines",46.54063681,6.70409103
Parent8504173,"Savigny, centre",46.53853592,6.73092371
Parent8504176,"Lausanne, Tunnel",46.52544677,6.63449855
Parent8504177,"Le Mont-sur-L., Grand-Mont",46.56300625,6.63250429
Parent8504178,"Cugy VD, poste",46.58371803,6.63891826
Parent8504656,"Romanel-sur-Morges, poste",46.55566199,6.51102511
Parent8505529,"Bussigny, St-Germain",46.55109062,6.5456911
Parent8506417,"Romanel-sur-Morges,Z.I. Moulin",46.56249978,6.52183185
Parent8506903,"Bussigny, Sottelles",46.55525429,6.55061387
Parent8506905,"Bussigny, Tatironne",46.55280184,6.54954487
Parent8506907,"Bussigny, Jordil",46.55219643,6.54720925
Parent8507227,"Chavannes-R., Cèdres",46.53015626,6.57291005
Parent8507540,"Cugy VD, Grillon",46.5878545,6.64027472
Parent8507626,"Etagnières, gare",46.5997065,6.61275932
Parent8507628,"Romanel-sur-Lausanne, gare",46.56270361,6.60382108
Parent8507632,"Crissier, Montremoën",46.56198096,6.57767112
Parent8509297,"Lutry, Bras-de-Fer",46.51216283,6.70013845
Parent8509491,"Lausanne, Chalet-à-Gobet/Jorat",46.56485297,6.69350888
Parent8510004,"Cully, Hôpital de Lavaux",46.49049604,6.72493195
Parent8510421,"Crissier, Chicorée",46.54074803,6.5796564
Parent8510422,"Chavannes-R., Talluchet",46.52865446,6.58344729
Parent8510525,"St-Sulpice VD, Castolin",46.51342398,6.54639179
