from,to,route_id
Parent8592209,Parent8588983,92-25-E-j25-1
Parent8592209,Parent8588983,92-33-G-j25-1
Parent8588983,Parent8593869,92-32-F-j25-1
Parent8588983,Parent8593869,92-25-E-j25-1
Parent8588983,Parent8593869,92-31-I-j25-1
Parent8579231,Parent8588156,92-N5-D-j25-1
Parent8579231,Parent8588156,92-31-I-j25-1
Parent8588156,Parent8588155,92-N5-D-j25-1
Parent8588156,Parent8588155,92-31-I-j25-1
Parent8588155,Parent8588158,92-N5-D-j25-1
Parent8588155,Parent8588158,92-31-I-j25-1
Parent8588158,Parent8588157,92-N5-D-j25-1
Parent8588158,Parent8588157,92-31-I-j25-1
Parent8588157,Parent8592226,92-N5-D-j25-1
Parent8588157,Parent8592226,92-31-I-j25-1
Parent8592226,Parent8592227,92-N5-D-j25-1
Parent8592226,Parent8592227,92-31-I-j25-1
Parent8592227,Parent8511813,92-N5-D-j25-1
Parent8592227,Parent8511813,92-31-I-j25-1
Parent8511813,Parent8591944,92-N5-D-j25-1
Parent8511813,Parent8591944,92-31-I-j25-1
Parent8591944,Parent8501213,92-N5-D-j25-1
Parent8591944,Parent8501213,92-31-I-j25-1
Parent8501213,Parent8594987,92-N5-D-j25-1
Parent8501213,Parent8594987,92-31-I-j25-1
Parent8594987,Parent8594986,92-N5-D-j25-1
Parent8594987,Parent8594986,92-31-I-j25-1
Parent8594986,Parent8593867,92-31-I-j25-1
Parent8593867,Parent8507227,92-31-I-j25-1
Parent8507227,Parent8593868,92-31-I-j25-1
Parent8593868,Parent8591933,92-N5-D-j25-1
Parent8593868,Parent8591933,92-32-I-j25-1
Parent8593868,Parent8591933,92-31-I-j25-1
Parent8591933,Parent8593869,92-N5-D-j25-1
Parent8591933,Parent8593869,92-32-I-j25-1
Parent8591933,Parent8593869,92-31-I-j25-1
Parent8593869,Parent8591933,92-32-F-j25-1
Parent8593869,Parent8591933,92-31-I-j25-1
Parent8591933,Parent8593868,92-32-F-j25-1
Parent8591933,Parent8593868,92-31-I-j25-1
Parent8593868,Parent8507227,92-31-I-j25-1
Parent8507227,Parent8593867,92-31-I-j25-1
Parent8593867,Parent8594986,92-31-I-j25-1
Parent8594986,Parent8594987,92-31-I-j25-1
Parent8594987,Parent8591944,92-31-I-j25-1
Parent8501213,Parent8592227,92-31-I-j25-1
Parent8592227,Parent8592226,92-31-I-j25-1
Parent8592226,Parent8588157,92-31-I-j25-1
Parent8588157,Parent8588158,92-31-I-j25-1
Parent8588158,Parent8588155,92-31-I-j25-1
Parent8588155,Parent8588156,92-31-I-j25-1
Parent8588156,Parent8579231,92-31-I-j25-1
Parent8594987,Parent8501213,92-31-I-j25-1
Parent8501213,Parent8591944,92-31-I-j25-1
Parent8591944,Parent8592227,92-31-I-j25-1
Parent8593868,Parent8593866,92-32-F-j25-1
Parent8593866,Parent8592209,92-32-F-j25-1
Parent8592209,Parent8592218,92-32-F-j25-1
Parent8592209,Parent8592218,92-33-G-j25-1
Parent8592218,Parent8592210,92-32-F-j25-1
Parent8592218,Parent8592210,92-33-G-j25-1
Parent8592210,Parent8592218,92-N5-D-j25-1
Parent8592210,Parent8592218,92-32-I-j25-1
Parent8592210,Parent8592218,92-33-G-j25-1
Parent8592218,Parent8592209,92-N5-D-j25-1
Parent8592218,Parent8592209,92-32-I-j25-1
Parent8592218,Parent8592209,92-33-G-j25-1
Parent8592209,Parent8593866,92-N5-D-j25-1
Parent8592209,Parent8593866,92-32-I-j25-1
Parent8593866,Parent8593868,92-N5-D-j25-1
Parent8593866,Parent8593868,92-32-I-j25-1
Parent8594988,Parent8591959,92-33-G-j25-1
Parent8591959,Parent8594890,92-33-G-j25-1
Parent8594890,Parent8591956,92-33-G-j25-1
Parent8591956,Parent8591949,92-33-G-j25-1
Parent8591949,Parent8591954,92-33-G-j25-1
Parent8591949,Parent8591954,92-705-j25-1
Parent8591954,Parent8591961,92-33-G-j25-1
Parent8591954,Parent8591961,92-705-j25-1
Parent8591961,Parent8588873,92-33-G-j25-1
Parent8588873,Parent8591960,92-33-G-j25-1
Parent8591960,Parent8591957,92-33-G-j25-1
Parent8591957,Parent8591955,92-33-G-j25-1
Parent8591955,Parent8591948,92-N5-D-j25-1
Parent8591955,Parent8591948,92-33-G-j25-1
Parent8591948,Parent8591953,92-33-G-j25-1
Parent8591953,Parent8591958,92-33-G-j25-1
Parent8591958,Parent8510721,92-33-G-j25-1
Parent8510721,Parent8588983,92-33-G-j25-1
Parent8588983,Parent8588983,92-33-G-j25-1
Parent8588983,Parent8510721,92-N5-D-j25-1
Parent8588983,Parent8510721,92-33-G-j25-1
Parent8510721,Parent8591958,92-N5-D-j25-1
Parent8510721,Parent8591958,92-33-G-j25-1
Parent8591958,Parent8591953,92-N5-D-j25-1
Parent8591958,Parent8591953,92-33-G-j25-1
Parent8591953,Parent8591955,92-N5-D-j25-1
Parent8591953,Parent8591955,92-33-G-j25-1
Parent8591948,Parent8591957,92-N5-D-j25-1
Parent8591948,Parent8591957,92-33-G-j25-1
Parent8591957,Parent8591960,92-N5-D-j25-1
Parent8591957,Parent8591960,92-33-G-j25-1
Parent8591960,Parent8588873,92-N5-D-j25-1
Parent8591960,Parent8588873,92-33-G-j25-1
Parent8588873,Parent8591961,92-N5-D-j25-1
Parent8588873,Parent8591961,92-33-G-j25-1
Parent8591961,Parent8591954,92-N5-D-j25-1
Parent8591961,Parent8591954,92-33-G-j25-1
Parent8591954,Parent8591949,92-N5-D-j25-1
Parent8591954,Parent8591949,92-33-G-j25-1
Parent8591949,Parent8591956,92-N5-D-j25-1
Parent8591949,Parent8591956,92-33-G-j25-1
Parent8591956,Parent8594890,92-N5-D-j25-1
Parent8591956,Parent8594890,92-33-G-j25-1
Parent8594890,Parent8591959,92-N5-D-j25-1
Parent8594890,Parent8591959,92-33-G-j25-1
Parent8591959,Parent8594988,92-N5-D-j25-1
Parent8591959,Parent8594988,92-33-G-j25-1
Parent8591953,Parent8591957,92-33-G-j25-1
Parent8591948,Parent8591960,92-33-G-j25-1
Parent8591956,Parent8591959,92-33-G-j25-1
Parent8594890,Parent8594988,92-33-G-j25-1
Parent8510525,Parent8510526,92-701-j25-1
Parent8510526,Parent8510527,92-701-j25-1
Parent8510527,Parent8510528,92-701-j25-1
Parent8510528,Parent8595223,92-701-j25-1
Parent8595223,Parent8511813,92-701-j25-1
Parent8510528,Parent8510527,92-701-j25-1
Parent8510527,Parent8510526,92-701-j25-1
Parent8510526,Parent8510525,92-701-j25-1
Parent8592248,Parent8591961,92-705-j25-1
Parent8591961,Parent8591946,92-705-j25-1
Parent8591946,Parent8591951,92-705-j25-1
Parent8591951,Parent8591947,92-705-j25-1
Parent8591947,Parent8579233,92-705-j25-1
Parent8579233,Parent8591944,92-705-j25-1
Parent8591944,Parent8579234,92-705-j25-1
Parent8592239,Parent8592242,92-705-j25-1
Parent8592242,Parent8588872,92-705-j25-1
Parent8588872,Parent8592248,92-705-j25-1
Parent8579234,Parent8579233,92-705-j25-1
Parent8579233,Parent8591952,92-705-j25-1
Parent8591952,Parent8591949,92-705-j25-1
Parent8591961,Parent8592248,92-705-j25-1
Parent8592248,Parent8588872,92-705-j25-1
Parent8588872,Parent8592242,92-705-j25-1
Parent8592242,Parent8592239,92-705-j25-1
Parent8591945,Parent8595223,92-83-E-j25-1
Parent8595223,Parent8501214,92-83-E-j25-1
Parent8501210,Parent8592210,92-N5-D-j25-1
Parent8594988,Parent8579231,92-N5-D-j25-1
Parent8594986,Parent8595602,92-N5-D-j25-1
