from,to,route_id
Parent8530749,Parent8501218,91-m1-j25-1
Parent8501218,Parent8501217,91-m1-j25-1
Parent8501217,Parent8501216,91-m1-j25-1
Parent8501216,Parent8501215,91-m1-j25-1
Parent8501215,Parent8501214,91-m1-j25-1
Parent8501214,Parent8501213,92-83-E-j25-1
Parent8501214,Parent8501213,91-m1-j25-1
Parent8501213,Parent8501212,92-83-E-j25-1
Parent8501213,Parent8501212,91-m1-j25-1
Parent8501212,Parent8501211,92-83-E-j25-1
Parent8501212,Parent8501211,91-m1-j25-1
Parent8501211,Parent8501210,91-m1-j25-1
Parent8501210,Parent8501211,91-m1-j25-1
Parent8501211,Parent8501212,91-m1-j25-1
Parent8501212,Parent8501213,91-m1-j25-1
Parent8501213,Parent8501214,91-m1-j25-1
Parent8501214,Parent8501215,91-m1-j25-1
Parent8501215,Parent8501216,91-m1-j25-1
Parent8501216,Parent8501217,91-m1-j25-1
Parent8501217,Parent8501218,91-m1-j25-1
Parent8501218,Parent8530749,91-m1-j25-1
Parent8501210,Parent8591950,92-701-j25-1
Parent8501210,Parent8591950,92-1-V-j25-1
Parent8591950,Parent8596053,92-701-j25-1
Parent8591950,Parent8596053,92-1-V-j25-1
Parent8596053,Parent8591945,92-701-j25-1
Parent8596053,Parent8591945,92-1-V-j25-1
Parent8591945,Parent8511813,92-701-j25-1
Parent8591945,Parent8511813,92-1-V-j25-1
Parent8511813,Parent8595223,92-701-j25-1
Parent8511813,Parent8595223,92-1-V-j25-1
Parent8595223,Parent8510528,92-701-j25-1
Parent8595223,Parent8510528,92-1-V-j25-1
Parent8510528,Parent8510727,92-1-V-j25-1
Parent8510727,Parent8511813,92-1-V-j25-1
Parent8511813,Parent8591945,92-701-j25-1
Parent8511813,Parent8591945,92-1-V-j25-1
Parent8591945,Parent8596053,92-701-j25-1
Parent8591945,Parent8596053,92-1-V-j25-1
Parent8596053,Parent8591950,92-701-j25-1
Parent8596053,Parent8591950,92-1-V-j25-1
Parent8591950,Parent8501210,92-701-j25-1
Parent8591950,Parent8501210,92-1-V-j25-1
Parent8501210,Parent8595937,92-24-G-j25-1
Parent8595937,Parent8501210,92-24-G-j25-1
Parent8593869,Parent8588983,92-N5-D-j25-1
Parent8593869,Parent8588983,92-32-I-j25-1
Parent8593869,Parent8588983,92-25-E-j25-1
Parent8593869,Parent8588983,92-31-I-j25-1
Parent8588983,Parent8592209,92-25-E-j25-1
Parent8588983,Parent8592209,92-33-G-j25-1
Parent8592209,Parent8595534,92-25-E-j25-1
Parent8595534,Parent8510422,92-25-E-j25-1
Parent8510422,Parent8595602,92-25-E-j25-1
Parent8595602,Parent8595521,92-N5-D-j25-1
Parent8595602,Parent8595521,92-25-E-j25-1
Parent8595521,Parent8595602,92-25-E-j25-1
Parent8595602,Parent8510422,92-25-E-j25-1
Parent8510422,Parent8595534,92-25-E-j25-1
Parent8595534,Parent8592209,92-25-E-j25-1
