start_station,next_station,walk_time
Parent1402625,Parent8774751,20.65998963637298
Parent8002301,Parent8002370,24.260439645373495
Parent8002301,Parent8002371,29.05729643642713
Parent8002370,Parent8002301,24.260439645373495
Parent8002370,Parent8002371,25.924990234903568
Parent8002370,Parent8002373,22.970281739467293
Parent8002371,Parent8002301,29.05729643642713
Parent8002371,Parent8002370,25.924990234903568
Parent8002373,Parent8002370,22.970281739467293
Parent8014329,Parent8014330,28.008055338097044
Parent8014330,Parent8014329,28.008055338097044
Parent8014349,Parent8014350,20.71628215597744
Parent8014350,Parent8014349,20.71628215597744
Parent8014405,Parent8014406,17.62381285909947
Parent8014406,Parent8014405,17.62381285909947
Parent8014421,Parent8014422,25.215757596998614
Parent8014422,Parent8014421,25.215757596998614
Parent8014424,Parent8014428,28.736670467331802
Parent8014428,Parent8014424,28.736670467331802
Parent8014428,Parent8060978,12.479301812555075
Parent8014428,Parent8060979,21.998486730924338
Parent8014429,Parent8014439,23.0898452736998
Parent8014429,Parent8060978,21.112430563047475
Parent8014429,Parent8060979,9.733059498071984
Parent8014429,Parent8069220,25.917994344923986
Parent8014439,Parent8014429,23.0898452736998
Parent8014439,Parent8069220,24.54932789928757
Parent8014440,Parent8014441,22.27682477011562
Parent8014440,Parent8069220,7.520512243103427
Parent8014440,Parent8069221,10.827717069271277
Parent8014441,Parent8014440,22.27682477011562
Parent8014441,Parent8069220,29.57933430856792
Parent8014441,Parent8069221,11.563815734362615
Parent8014441,Parent8083846,19.033638644568562
Parent8014443,Parent8014444,17.71889472803907
Parent8014443,Parent8083846,17.48338225805436
Parent8014444,Parent8014443,17.71889472803907
Parent8014446,Parent8083840,23.81132864812284
Parent8014447,Parent8014448,29.497981520081204
Parent8014447,Parent8021703,15.86564668943125
Parent8014447,Parent8083840,23.963599277080856
Parent8014448,Parent8014447,29.497981520081204
Parent8014448,Parent8021703,14.409584521348679
Parent8014460,Parent8500300,25.380058154184795
Parent8014462,Parent8500301,13.094211329351733
Parent8014462,Parent8500313,25.943602159466455
Parent8014466,Parent8500320,23.76419933265299
Parent8014468,Parent8014469,17.958422131735425
Parent8014468,Parent8500322,6.9373305694800935
Parent8014469,Parent8014468,17.958422131735425
Parent8014469,Parent8500322,17.594421219351617
Parent8014479,Parent8085022,17.028076221043094
Parent8014481,Parent8503467,13.016332241464998
Parent8014526,Parent8071993,11.85669548185872
Parent8014529,Parent8080295,13.471707309515477
Parent8014534,Parent8072031,18.125579843883926
