stop_id,stop_name,stop_lat,stop_lon
Parent1402625,Pont-de-Claix l'Étoile,45.13748047,5.70257729
Parent8002301,Lindau-Reutin,47.5523844,9.70329627
Parent8002370,Lindau-Aeschach,47.55962297,9.68465623
Parent8002371,Lindau-Insel,47.54433835,9.68047008
Parent8002373,Enzisweiler,47.56413899,9.66543228
Parent8002374,Wasserburg (Bodensee),47.57190321,9.63906673
Parent8002375,Nonnenhorn,47.57511524,9.61267423
Parent8003005,Berlin Ostbahnhof,52.51059838,13.43499678
Parent8011068,Frankfurt (Main) Hbf,50.10714393,8.66379278
Parent8013050,Göttingen,51.53699891,9.92579999
Parent8014181,Dogern,47.60888414,8.1673568
Parent8014228,Karlsruhe Hbf,48.99351443,8.4021854
Parent8014238,Ettlingen West,48.94718182,8.38787524
Parent8014239,Bruchhausen (b Ettl),48.92399051,8.3739783
Parent8014240,Malsch,48.8895082,8.32358281
Parent8014241,Muggensturm,48.87666573,8.27371733
Parent8014245,Rastatt,48.86048094,8.21562328
Parent8014277,Baden-Baden,48.79032778,8.19082978
Parent8014281,Bühl (Baden),48.69667893,8.12929518
Parent8014283,Achern,48.6339911,8.06532615
Parent8014288,Renchen (D),48.59266092,8.00714227
Parent8014289,Appenweier,48.54146062,7.97318595
Parent8014309,Offenburg,48.47647769,7.94672158
Parent8014318,Friesenheim (Baden),48.38158861,7.8629447
Parent8014319,Lahr (Schwarzw),48.34095974,7.83557303
Parent8014324,Orschweier,48.27418936,7.79027998
Parent8014325,Ringsheim/Europa-Park,48.24872492,7.77304131
Parent8014326,Herbolzheim (Breisgau),48.22386423,7.76764243
Parent8014327,Kenzingen,48.19445259,7.76409409
Parent8014328,Riegel-Malterdingen,48.1519666,7.77084942
Parent8014329,Köndringen,48.13745507,7.80292826
Parent8014330,Teningen-Mundingen,48.12877976,7.82440697
Parent8014331,Emmendingen,48.11945531,7.84751164
Parent8014332,Kollmarsreute,48.09826964,7.88707345
Parent8014335,Denzlingen,48.06881594,7.88168356
Parent8014347,Gundelfingen (Breisgau),48.04402408,7.87418262
Parent8014348,Freiburg(Breisgau) Zähringen,48.02436344,7.86373522
Parent8014349,Freiburg(Breisgau) Herdern,48.00823528,7.85097016
Parent8014350,Freiburg(Breisgau) Hbf,47.99769877,7.84116954
Parent8014404,Freiburg(Breisgau) St. Georgen,47.97549474,7.8030091
Parent8014405,Ebringen,47.96036191,7.76818142
Parent8014406,Schallstadt,47.95594633,7.75388922
Parent8014407,Norsingen,47.93906258,7.7260684
Parent8014408,Bad Krozingen,47.91972314,7.69762774
Parent8014410,Heitersheim,47.87985975,7.6461902
Parent8014411,Buggingen,47.8552543,7.62816102
Parent8014413,Müllheim im Markgräflerland,47.80974293,7.59933408
Parent8014416,Auggen,47.78995079,7.58678462
Parent8014417,Schliengen,47.76159509,7.56893509
Parent8014418,Bad Bellingen,47.73080106,7.55759835
Parent8014419,Rheinweiler,47.70953421,7.53164602
Parent8014420,Kleinkems,47.68613004,7.52466611
Parent8014421,Istein,47.66088821,7.54294683
Parent8014422,Efringen-Kirchen,47.65561813,7.56392249
Parent8014423,Eimeldingen,47.627946,7.59559709
Parent8014424,Haltingen,47.61082818,7.61365323
Parent8014428,Weil am Rhein,47.59396526,7.60841605
Parent8014429,Weil am Rhein-Ost,47.59062716,7.6347816
Parent8014439,Riehen,47.58315657,7.65201129
Parent8014440,Lörrach-Stetten,47.60141614,7.65903611
Parent8014441,Lörrach Hbf,47.61405599,7.66542314
Parent8014443,Lörrach Haagen/Messe,47.63323098,7.68089212
Parent8014444,Lörrach Brombach/Hauingen,47.63761354,7.69521127
Parent8014445,Steinen (D),47.64160232,7.74156434
Parent8014446,Maulburg,47.64437431,7.78065902
Parent8014447,Schopfheim,47.6479692,7.82267323
Parent8014448,Fahrnau,47.66155979,7.83942681
Parent8014449,Hausen-Raitbach,47.67930815,7.84603841
Parent8014450,Zell (Wiesental),47.70562316,7.84914658
Parent8014458,Grenzach,47.55089898,7.65950324
Parent8014459,Wyhlen,47.54632724,7.69091732
Parent8014460,Herten (Baden),47.54950446,7.73965991
Parent8014462,Rheinfelden (Baden),47.5569253,7.78420737
Parent8014463,Beuggen,47.58190833,7.81091428
Parent8014464,Schwörstadt,47.59102096,7.87032885
Parent8014465,Wehr-Brennet,47.58092063,7.91052846
Parent8014466,Bad Säckingen,47.55585831,7.94862601
Parent8014467,Murg (Baden),47.55345146,8.01872155
Parent8014468,Laufenburg (Baden),47.56340555,8.05831031
Parent8014469,Laufenburg (Baden) Ost,47.5661635,8.07368947
Parent8014471,Albbruck,47.59223263,8.13177453
Parent8014474,Waldshut,47.6213708,8.21952197
Parent8014478,Tiengen (Hochrhein),47.63547073,8.27200155
Parent8014479,Lauchringen,47.62909021,8.32219042
Parent8014480,Griessen (Baden),47.62843032,8.39600499
